Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,5D_ReturnPct,10D_ReturnPct,20D_ReturnPct,50D_ReturnPct,200D_ReturnPct,200D_ReturnPct_Percentile,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA5,PriceVsMA5Pct,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
34,MOVE,Technology,Software - Infrastructure,NASDAQ,327.24,98.44,144.72,96.9,222.97,96.83,298.98,97.94,170.25,93.75,83.2,33.36,24.46,8.57,34.99,16.37,66.11,355.02,98.19,44632990.27027702,1981047.0,0.038900003,-5.56,121000,2.0,22.4,9.2,21.46,13.98,20.29,20.55,18.79,30.18,10.03,126.71,52970,60640,59106,
35,STX,Technology,Computer Hardware,NASDAQ,324.82,98.43,129.87,94.22,331.46,98.55,355.03,98.58,231.76,97.18,208.08,96.52,899.9,-15.86,3.74,2.25,73.31,373.58,98.34,242141797687.69336,226252116.0,0.0458,-21.41,9175598,2.25,1009.92,-10.89,1016.35,-11.46,946.95,-4.97,809.87,11.12,9.49,22.73,5885309,4080346,4369763,0.441
36,WYY,Technology,Information Technology Services,NYSE ARCA,323.23,98.41,194.91,98.58,235.2,97.3,204.78,95.7,113.29,73.8,122.68,84.89,16.72,23.3,36.27,53.68,220.92,215.47,96.78,134070178.50882626,9887181.0,0.020599999,21.6,1150781,2.67,16.7,0.12,14.67,13.97,12.96,29.01,9.92,68.55,11.65,43.64,917398,430542,305851,0.211
37,KEEL,Technology,Information Technology Services,NASDAQ,321.15,98.39,151.29,97.39,275.66,98.07,293.75,97.89,139.02,87.24,163.11,93.28,6.03,-4.13,9.24,7.3,112.32,279.25,97.63,3798082191.755765,603828651.0,0.123500004,-8.64,122251880,2.11,6.26,-3.67,6.07,-0.66,5.87,2.73,4.64,29.96,12.04,73.01,72515218,57856452,47945751,-0.224
38,UCTT,Technology,Semiconductor Equipment & Materials,NASDAQ,320.54,98.38,137.17,95.85,290.36,98.26,246.78,96.95,246.66,97.5,93.17,55.55,118.82,-2.03,13.35,36.12,56.18,384.98,98.39,5436782475.837891,44828352.0,0.0924,-3.69,2602750,2.07,116.53,1.97,114.73,3.56,101.66,16.88,89.65,32.54,8.35,69.76,1428385,1255951,1179935,0.029
39,LITE,Technology,Communication Equipment,NASDAQ,319.06,98.36,93.06,26.06,377.9,98.71,401.27,98.71,528.72,98.83,369.81,98.5,816.98,-3.88,-8.16,-5.07,-0.85,438.44,98.53,66130000000.0,77800000.0,0.1454,-24.75,8547197,1.42,848.67,-3.73,871.75,-6.28,884.47,-7.63,903.65,-9.59,9.29,55.9,5864869,6001156,5950781,0.901
40,VPG,Technology,Scientific & Technical Instruments,NYSE,315.98,98.34,140.13,96.27,359.25,98.63,314.16,98.04,135.28,85.93,130.34,87.54,127.82,-9.57,-9.8,2.05,151.61,329.94,98.03,1879963291.2902832,13301000.0,0.0986,-13.86,591789,0.91,134.06,-4.65,136.91,-6.64,131.48,-2.78,99.59,28.35,9.41,41.49,529518,648622,542785,0.176
41,VNCE,Consumer Cyclical,Apparel Manufacturing,NASDAQ,315.37,98.33,211.61,98.73,178.41,94.88,180.64,94.42,94.4,42.55,158.63,92.88,7.76,9.3,62.0,80.47,147.13,417.33,98.46,91215786.17478657,12847294.0,0.0026,-5.37,290636,1.14,7.34,5.72,6.77,14.62,5.57,39.32,4.91,58.04,10.98,18.78,522373,254544,296212,0.105
42,VSH,Technology,Semiconductors,NYSE,314.98,98.31,153.32,97.5,319.14,98.43,289.56,97.81,116.19,75.95,89.32,44.2,56.35,-13.17,-3.68,8.05,137.56,277.39,97.6,8833268379.98101,136105827.0,0.11350001,-18.89,6809767,0.82,59.02,-4.52,60.34,-6.61,59.0,-4.49,44.28,27.26,11.79,26.65,7401806,8277802,6793253,0.173
43,HUT,Financial Services,Capital Markets,NASDAQ,309.97,98.29,132.64,95.08,303.58,98.31,352.87,98.56,194.41,95.65,209.72,96.59,123.02,-1.14,5.77,-0.98,73.05,319.86,97.91,14011211572.167969,112594112.0,0.157,-12.63,11523319,2.64,119.67,2.8,120.22,2.33,121.06,1.62,103.51,18.85,8.86,123.93,4501181,4368807,4709560,2.255
