Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2949,NOG,Energy,Oil & Gas E&P,NYSE,89.51,49.33,88.42,30.78,100.23,64.45,99.95,63.22,103.8,63.62,69.14,19.43,24.89,2584477167.1748886,105791123.0,0.1904,-23.7,1985800,0.78,24.03,3.58,25.5,-2.39,26.76,-6.99,3.67,35.03,2860030,2536950,2789702,-0.071
2950,CPHC,Consumer Cyclical,Resorts & Casinos,NASDAQ,89.51,49.33,98.74,73.29,84.44,33.86,84.18,33.57,87.21,34.61,75.69,26.09,16.12,81890308.6353035,5150334.0,0.0034,-25.4,400,0.28,15.87,1.58,15.81,1.96,15.63,3.13,1.44,-0.0,1230,1423,1314,0.028
2951,ALIS,Financial Services,Shell Companies,NASDAQ,89.51,49.33,95.73,61.68,89.67,43.77,89.67,42.28,91.66,40.46,91.03,48.73,10.08,84696376.60741806,8427500.0,0.0008,0.0,2200,0.71,10.07,0.1,10.06,0.2,10.02,0.6,0.16,187.5,3390,3090,3020,
2952,JGH,Financial Services,Asset Management,NYSE,89.51,49.33,93.53,48.93,92.46,51.14,93.98,53.0,95.82,50.55,91.32,49.47,12.31,352697982.3670845,28125836.0,0.002,-10.15,68600,1.01,12.58,-2.15,12.59,-2.22,12.39,-0.65,1.47,5.52,60280,67720,73722,
2953,SOR,Financial Services,Asset Management,NYSE,89.5,49.27,92.79,45.4,92.96,52.46,95.82,56.4,104.19,64.11,102.13,71.91,44.96,373603768.666214,8230971.0,0.0005,-10.81,11100,0.74,45.8,-1.83,45.93,-2.11,45.66,-1.53,1.53,20.36,15250,15063,13908,0.138
2954,PACH,Financial Services,Shell Companies,NASDAQ,89.5,49.27,95.53,59.66,89.72,43.92,90.29,44.28,91.87,41.03,92.28,51.9,10.19,322574993.96800995,31625000.0,0.0001,-0.1,13400,2.07,10.19,0.0,10.19,0.0,10.17,0.2,0.07,0.01,11050,6480,8442,
2955,AXINU,Financial Services,Shell Companies,NASDAQ,89.5,49.27,95.59,60.21,89.72,43.92,89.73,42.45,91.72,40.62,92.58,52.96,10.32,,,0.0,-9.47,0,0.0,10.32,0.0,10.31,0.1,10.3,0.19,,,0,63,1356,
2956,WIA,Financial Services,Asset Management,NYSE,89.49,49.23,94.86,55.45,90.57,46.68,91.42,47.27,94.82,48.36,94.84,59.75,8.11,189843179.9870615,23322257.0,0.09,-5.04,41100,0.81,8.16,-0.61,8.14,-0.37,8.08,0.37,0.7,70.89,40530,50993,46488,0.25
2957,EIM,Financial Services,Asset Management,NYSE ARCA,89.49,49.23,93.57,49.2,92.79,52.08,93.96,52.98,95.71,50.27,93.32,55.32,9.63,500882840.25,51372599.0,1.08,-8.63,110000,0.95,9.83,-2.03,9.83,-2.03,9.75,-1.23,0.89,46.88,118610,115906,126760,0.651
2958,MKLYU,Financial Services,Shell Companies,NASDAQ,89.48,49.18,95.55,59.92,89.67,43.77,89.77,42.58,92.07,41.61,92.8,53.43,10.21,,,1.6,-1.07,0,0.0,10.22,-0.1,10.22,-0.1,10.17,0.39,0.13,-0.0,240,280,246,
