Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS_Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
3410,BFRI,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,86.32,41.59,72.98,6.99,77.77,68.16,50.63,47.28,0.81,9606046.543141246,12007558.0,0.0066000004,-31.93,148249,0.68,0.99,-18.18,1.04,-22.12,0.98,-17.35,10.42,35.42,400284,218881,180044,0.174
3411,PFL,Financial Services,Asset Management,NYSE,86.32,41.59,91.41,39.4,45.91,49.15,54.0,63.23,7.65,379030617.9753399,49160910.0,2.19,-12.07,147217,0.89,7.84,-2.42,7.91,-3.29,7.87,-2.8,0.82,15.88,193311,165533,212226,-0.097
3412,EMR,Industrials,Specialty Industrial Machinery,NYSE,86.3,41.56,88.26,30.39,43.61,62.79,68.94,55.17,130.65,74521306709.28955,560100000.0,0.022,-20.89,2832117,0.98,137.47,-4.96,138.48,-5.65,136.24,-4.1,3.6,53.54,3140271,2880347,2962680,0.029
3413,SHC,Healthcare,Diagnostics & Research,NASDAQ,86.29,41.54,92.14,42.5,50.33,62.41,70.56,78.05,15.23,4354500128.91909,285166994.0,0.0577,-23.27,2590463,0.68,15.51,-1.81,15.53,-1.93,14.92,2.08,3.14,33.46,5730486,3804265,3582489,0.1
3414,PRTC,Healthcare,Biotechnology,NASDAQ,86.28,41.51,96.1,64.66,30.18,46.79,39.18,26.82,17.08,423304217.55293274,24341819.0,0.0011999999,-14.26,21192,1.56,17.25,-0.99,17.39,-1.78,16.83,1.49,5.14,20.51,19249,13553,9677,-0.382
3415,PCM,Financial Services,Asset Management,NYSE,86.28,41.51,92.73,45.15,44.76,43.13,47.13,47.14,5.62,69646987.83126307,12348757.0,0.53,-16.86,10616,0.24,5.77,-2.6,5.74,-2.09,5.65,-0.53,2.07,8.58,53111,44260,47276,-0.207
3416,DBL,Financial Services,Asset Management,NYSE,86.28,41.51,93.9,50.89,39.34,39.5,44.9,57.75,14.17,282517514.7958231,19770295.0,0.25,-11.49,45532,0.58,14.33,-1.12,14.3,-0.91,14.26,-0.63,0.91,23.1,51583,78637,86944,
3417,SSB,Financial Services,Banks - Regional,NYSE,86.26,41.46,89.65,33.86,47.47,51.66,60.45,32.65,92.03,9006947044.683685,97668043.0,0.028299998,-15.15,398355,0.46,94.09,-2.19,95.49,-3.62,94.06,-2.16,2.39,27.31,705585,870438,870077,0.228
3418,MTW,Industrials,Farm & Heavy Construction Machinery,NYSE,86.26,41.46,82.09,17.18,70.14,63.91,82.35,64.77,11.35,438096917.9507904,35909584.0,0.0368,-27.06,196058,0.93,12.67,-10.42,12.97,-12.49,12.58,-9.78,6.02,4.39,263685,211681,223041,0.05
3419,CLB,Energy,Oil & Gas Equipment & Services,NYSE,86.26,41.46,82.11,17.23,35.6,69.39,84.32,73.56,13.72,602483619.672409,46096682.0,0.2552,-32.61,326160,0.71,13.36,2.69,14.75,-6.98,15.72,-12.72,6.32,28.84,455526,457322,435127,-0.014
3420,PRTS,Consumer Cyclical,Auto Parts,NASDAQ,86.25,41.43,74.08,7.74,86.24,87.3,57.79,8.49,0.65,54793077.296339154,80578054.0,0.033099998,-52.21,962862,1.71,0.75,-13.33,0.85,-23.53,0.83,-21.69,8.9,17.28,800326,562462,581935,-0.105
3421,FERG,Industrials,Industrial Distribution,NYSE,86.24,41.41,83.94,20.37,62.95,73.54,72.81,77.7,221.57,43407165635.76306,193937826.0,0.0109,-18.43,1714369,1.24,234.66,-5.58,248.18,-10.72,240.76,-7.97,3.33,96.5,1400516,1383205,1362193,0.036
3422,IPEXU,Financial Services,Shell Companies,NASDAQ,86.23,41.39,95.87,62.95,38.22,37.26,58.57,63.06,10.79,,,5.06,-26.1,0,0.0,10.7,0.84,10.65,1.31,10.63,1.51,0.12,0.0,19,6,15,
3423,DNUT,Consumer Defensive,Grocery Stores,NASDAQ,86.21,41.37,87.75,29.14,46.93,56.28,19.8,27.3,3.21,556852003.288269,172400000.0,0.18010001,-43.98,2139649,0.9,3.37,-4.75,3.62,-11.33,3.51,-8.55,6.7,51.15,2968924,2375544,2227310,-0.022
3424,SF,Financial Services,Capital Markets,NYSE,86.18,41.35,88.63,31.21,50.0,64.63,50.17,69.58,72.61,11431537587.625946,153794394.0,0.0001,-19.17,731931,0.54,75.12,-3.34,76.58,-5.18,75.3,-3.57,2.8,6.14,1476363,1353764,1424650,0.143
3425,AFYA,Consumer Defensive,Education & Training Services,NASDAQ,86.18,41.35,93.38,48.16,33.45,59.46,27.52,35.55,14.07,1243488164.1685867,89011320.0,0.059899997,-27.85,70728,0.88,14.05,0.14,14.23,-1.12,14.48,-2.83,3.76,7.54,89232,79984,96660,0.082
3426,MEDP,Healthcare,Diagnostics & Research,NASDAQ,86.16,41.32,85.99,24.54,31.95,58.48,52.02,92.2,419.91,11859981737.263885,28559689.0,0.0674,-33.23,294503,0.65,421.53,-0.38,427.18,-1.7,458.84,-8.48,2.68,8.44,337220,449926,394144,0.265
3427,TENB,Technology,Software - Infrastructure,NASDAQ,86.16,41.32,118.74,93.14,23.75,18.0,11.6,18.91,25.25,2369744674.5307484,110271973.0,0.1511,-29.25,6347358,1.73,21.77,15.99,21.16,19.33,19.73,27.98,5.25,170.57,3559585,3675181,3336701,0.096
3428,NTRSO,Financial Services,Asset Management,NASDAQ,86.15,41.28,92.87,45.91,41.17,40.79,45.74,46.22,18.75,,,0.82,-11.34,42738,1.52,19.13,-1.99,19.15,-2.09,19.12,-1.94,0.76,0.0,32633,28087,31896,0.139
3429,GDEV,Communication Services,Electronic Gaming & Multimedia,NASDAQ,86.15,41.28,95.4,58.87,37.73,55.68,33.75,83.21,15.99,292041370.77954483,18150489.0,0.0004,-62.11,1305,0.31,16.64,-3.91,16.62,-3.79,15.51,3.09,9.13,0.0,4220,4176,3116,-0.079
3430,RYTM,Healthcare,Biotechnology,NASDAQ,86.14,41.26,90.53,36.44,40.67,33.35,72.68,90.23,87.21,6203571355.580589,68532607.0,0.1185,-28.63,444012,0.61,91.76,-4.96,88.15,-1.07,87.18,0.03,6.25,42.4,852401,730517,874260,0.838
3431,AIV,Real Estate,REIT - Residential,NYSE,86.13,41.23,95.08,56.58,36.36,34.13,37.75,44.17,4.22,602757415.0015168,143856183.0,0.0209,-52.42,898602,0.65,4.25,-0.71,4.24,-0.47,4.17,1.2,1.49,15.91,1342400,1388010,1680096,-0.039
3432,AMH,Real Estate,REIT - Residential,NYSE,86.13,41.23,96.99,68.34,38.59,30.97,27.08,35.45,31.71,11037831291.210083,360595592.0,0.028499998,-18.38,3078795,0.94,31.75,-0.13,31.45,0.83,29.92,5.98,2.23,46.62,4383039,3288866,3246113,0.028
3433,EVER,Communication Services,Internet Content & Information,NASDAQ,86.12,41.21,98.09,71.34,62.76,17.21,15.29,66.95,18.48,618324883.2473984,35373278.0,0.24440001,-35.68,482650,0.44,19.1,-3.25,17.63,4.82,16.54,11.73,10.57,17.41,1020595,1084668,949567,0.145
3434,GLDG,Basic Materials,Gold,NYSE ARCA,86.1,41.18,79.85,13.4,52.9,42.66,91.19,91.56,1.05,235399912.7021556,213999916.0,0.0239,-53.74,2253732,1.15,1.17,-10.26,1.18,-11.02,1.23,-14.63,6.19,15.38,2145223,1959567,2121588,
3435,CARR,Industrials,Building Products & Equipment,NYSE,86.1,41.18,94.99,56.06,42.91,45.64,53.21,18.7,61.44,53713634434.57182,830580423.0,0.024300002,-24.23,7208632,1.09,65.63,-6.38,64.27,-4.4,60.66,1.29,4.07,2.2,5382573,6641747,6754492,0.024
3436,SMP,Consumer Cyclical,Auto Parts,NYSE,86.09,41.16,89.17,32.66,59.38,66.04,79.18,73.07,36.11,823741323.0,22263279.0,0.0401,-21.5,78193,0.75,38.05,-5.1,37.81,-4.5,36.72,-1.66,4.05,60.21,90699,103666,119695,0.091
3437,VYGR,Healthcare,Biotechnology,NASDAQ,86.07,41.14,86.28,25.28,50.74,62.2,35.64,72.61,3.48,227788250.8375554,60421287.0,0.0712,-37.3,957763,1.74,3.96,-12.12,3.91,-11.0,4.0,-13.0,7.51,45.9,676206,551325,721071,-0.599
3438,BGH,Financial Services,Asset Management,NYSE,86.06,41.12,92.85,45.78,42.54,43.52,42.6,51.05,13.84,282559516.64133453,20082411.0,0.0018000001,-18.11,111891,1.25,14.16,-2.26,14.19,-2.47,13.9,-0.43,1.24,11.62,65419,89443,84559,
3439,NXPL,Technology,Software - Application,NASDAQ,86.05,41.11,93.77,50.18,49.88,23.47,18.25,19.82,5.77,16413552.265017986,2708507.0,0.019199999,-48.02,12722,0.84,6.43,-10.26,6.42,-10.12,5.56,3.78,8.64,48.14,8872,15080,117110,-0.322
3440,RADX,Healthcare,Biotechnology,NASDAQ,86.04,41.09,95.39,58.78,34.35,36.84,51.92,19.03,4.64,37129707.45071888,7883165.0,0.0057,-71.45,34222,0.84,4.39,5.69,4.45,4.27,4.52,2.65,6.39,74.18,66922,40564,186452,1.545
3441,GHY,Financial Services,Asset Management,NYSE,86.03,41.05,94.33,53.04,37.33,43.44,51.08,45.82,11.76,487437288.5745735,40961118.0,0.14,-14.41,64308,0.41,11.87,-0.93,11.84,-0.68,11.71,0.43,1.11,15.29,166850,157963,153658,
3442,TMC,Basic Materials,Other Industrial Metals & Mining,NASDAQ,86.03,41.05,91.13,38.36,46.88,36.41,89.85,96.86,5.01,2348058601.01215,433221138.0,0.112799995,-55.86,5188705,0.95,5.6,-10.54,5.42,-7.56,5.23,-4.21,8.58,37.21,6899890,5438243,5799174,
3443,TCBX,Financial Services,Banks - Regional,NYSE,86.03,41.05,88.7,31.45,41.12,63.35,61.68,57.09,36.67,613408885.1239929,16592071.0,0.023699999,-16.35,71184,0.8,37.33,-1.77,37.76,-2.89,38.41,-4.53,2.65,28.78,79178,89036,83269,0.256
3444,NHI,Real Estate,REIT - Healthcare Facilities,NYSE,86.02,41.02,91.14,38.45,35.95,62.11,73.52,65.83,76.69,3617396492.6402054,48471079.0,0.0365,-16.08,186099,0.46,74.92,2.36,76.02,0.88,80.53,-4.77,2.51,50.31,475219,401856,372935,-0.026
3445,BABA,Consumer Cyclical,Internet Retail,NYSE,86.01,41.0,95.7,61.35,31.37,34.0,60.96,87.78,135.64,318090096346.4647,2399050495.0,0.0194,-29.6,8854935,0.76,138.3,-1.92,135.48,0.12,132.0,2.76,4.01,15.44,16056393,11655164,11533724,0.029
3446,CIF,Financial Services,Asset Management,NYSE,86.01,41.0,92.49,44.12,39.84,43.07,50.2,59.03,1.59,29001217.40536332,17901986.0,0.01,-12.64,72963,1.06,1.62,-1.85,1.62,-1.85,1.62,-1.85,1.3,48.28,72636,69115,64327,0.007
3447,YCBD,Healthcare,Drug Manufacturers - Specialty & Generic,NYSE ARCA,86.0,40.96,91.06,38.0,25.96,24.68,74.52,6.3,0.75,8050095.492191613,10495561.0,0.094799995,-70.7,114947,0.04,0.81,-7.41,0.86,-12.79,0.79,-5.06,9.6,37.36,282254,2598301,1738232,0.188
3448,PKG,Consumer Cyclical,Packaging & Containers,NYSE,86.0,40.96,88.22,30.29,60.66,48.97,64.66,38.89,203.17,18896041218.904495,89098647.0,0.0508,-18.57,863173,1.04,218.06,-6.83,216.56,-6.18,213.16,-4.69,2.96,3.99,590867,826429,950941,0.106
3449,NEO,Healthcare,Diagnostics & Research,NASDAQ,85.96,40.93,90.93,37.6,45.64,22.48,62.48,85.39,8.39,1072945037.3968887,130211780.0,0.0863,-38.94,1160091,0.5,8.59,-2.33,8.64,-2.89,8.28,1.33,5.23,43.32,1433559,2303293,2000529,0.111
3450,ESLA,Healthcare,Biotechnology,NASDAQ,85.96,40.93,72.88,6.89,73.27,93.09,33.38,94.07,1.14,47358403.69033098,42665228.0,0.0089,-63.81,25016,0.4,1.21,-5.79,1.42,-19.72,1.38,-17.39,10.65,24.71,28411,63223,97462,
3451,JHS,Financial Services,Asset Management,NYSE,85.95,40.9,92.98,46.44,39.88,41.21,50.59,62.07,10.95,128228903.51569176,11646585.0,0.24,-9.43,1566,0.08,11.11,-1.44,11.14,-1.71,11.08,-1.17,0.83,-1.09,26096,20012,19443,0.026
3452,ASO,Consumer Cyclical,Specialty Retail,NASDAQ,85.93,40.89,84.61,21.53,54.0,66.99,78.24,36.53,49.25,3260886124.4841995,64508134.0,0.1777,-21.13,998133,0.8,51.56,-4.48,53.46,-7.88,54.79,-10.11,3.97,48.09,1371893,1243361,1498686,0.025
3453,KRMD,Healthcare,Medical Instruments & Supplies,NASDAQ,85.92,40.87,88.55,31.05,57.33,55.01,75.94,85.28,3.96,179138704.38051224,45933000.0,0.016,-40.07,64917,0.43,4.02,-1.49,4.02,-1.49,4.19,-5.49,5.29,57.26,179821,152347,150520,0.221
3454,USA,Financial Services,Asset Management,NYSE,85.9,40.85,95.0,56.11,39.24,39.08,38.51,38.03,5.73,1727890759.7016406,301551615.0,0.00029999999,-17.67,815786,0.72,5.76,-0.52,5.78,-0.87,5.64,1.6,1.11,74.18,1048998,1132042,1140491,-0.098
3455,SPXC,Industrials,Building Products & Equipment,NYSE,85.89,40.81,87.58,28.58,55.88,74.45,82.57,81.18,195.79,10062532265.624374,50064839.0,0.031400003,-20.63,536785,0.95,202.76,-3.44,209.41,-6.5,207.34,-5.57,4.97,46.74,548338,564046,529029,0.174
3456,OCSL,Financial Services,Asset Management,NASDAQ,85.89,40.81,92.32,43.24,40.25,43.48,26.47,46.29,11.75,1065834861.9019604,88085523.0,0.0387,-20.45,589841,0.56,12.08,-2.73,12.34,-4.78,11.88,-1.09,2.65,16.04,780564,1049918,1006614,-0.133
3457,KWR,Basic Materials,Specialty Chemicals,NYSE,85.89,40.81,90.15,35.51,52.99,59.78,81.18,47.43,134.02,2396395702.956726,17366444.0,0.1617,-26.77,142924,0.83,140.85,-4.85,139.83,-4.16,131.02,2.29,4.59,59.55,144812,172800,179410,0.085
3458,HTGC,Financial Services,Asset Management,NYSE,85.89,40.81,94.5,53.86,40.01,30.19,25.41,44.22,15.31,2905951652.733946,187118590.0,0.0672,-22.17,2223943,1.18,15.57,-1.67,15.47,-1.03,14.78,3.59,2.27,0.86,2062134,1889144,2043118,0.184
3459,BOSC,Technology,Communication Equipment,NASDAQ,85.88,40.77,91.67,40.45,34.71,46.63,54.41,63.43,4.47,31865141.065535545,7049810.0,0.00059999997,-33.48,25559,0.51,4.54,-1.54,4.62,-3.25,4.73,-5.5,3.64,12.28,53375,49738,55273,0.215
3460,HGLB,Financial Services,Asset Management,NYSE,85.85,40.75,93.41,48.43,38.96,47.03,59.39,79.45,8.09,189431267.05067158,23590445.0,0.0002,-23.97,163566,2.34,8.12,-0.37,8.15,-0.74,8.11,-0.25,2.3,188.17,71106,69945,70039,
3461,EARN,Financial Services,Asset Management,NYSE,85.83,40.73,94.83,55.35,40.84,30.83,38.6,43.35,4.65,181081622.44911194,37568800.0,0.043899998,-23.52,330930,0.85,4.81,-3.33,4.72,-1.48,4.54,2.42,1.97,5.45,312003,390434,405502,
3462,GNSS,Technology,Scientific & Technical Instruments,NASDAQ,85.82,40.71,94.15,52.02,45.79,28.14,27.97,42.9,1.9,81520194.37271023,45542009.0,0.0232,-29.63,117052,0.89,1.92,-1.04,1.91,-0.52,1.87,1.6,5.68,83.44,224205,131371,119277,1.237
3463,APPS,Technology,Software - Application,NASDAQ,85.82,40.71,107.68,87.61,24.41,20.75,34.27,89.89,4.17,505977692.10399294,119899933.0,0.1146,-49.64,6217461,2.89,4.06,2.71,3.83,8.88,3.49,19.48,6.52,73.59,2454446,2152408,2213387,0.125
3464,KLTR,Technology,Software - Application,NASDAQ,85.81,40.68,108.52,88.42,29.81,19.0,17.5,20.3,1.51,219547129.05634117,150374742.0,0.0225,-33.63,344561,0.73,1.44,4.86,1.41,7.09,1.29,17.05,6.02,33.02,532696,474382,815875,-0.05
3465,FAX,Financial Services,Asset Management,NYSE ARCA,85.81,40.68,92.17,42.65,43.03,50.65,58.69,53.04,14.51,604377688.0932655,41282628.0,0.54,-14.14,209487,1.26,14.73,-1.49,14.86,-2.36,14.75,-1.63,1.76,19.55,190828,165622,181429,-0.276
3466,MFIN,Financial Services,Credit Services,NASDAQ,85.8,40.63,96.32,65.83,34.12,39.76,56.62,58.9,9.32,227290179.14137173,23849967.0,0.0435,-15.27,47973,0.75,9.44,-1.27,9.31,0.11,8.97,3.9,3.62,8.89,71447,64022,62925,-0.064
3467,GPOR,Energy,Oil & Gas E&P,NYSE,85.8,40.63,90.92,37.56,47.77,44.94,48.7,76.59,187.42,3284490960.044403,17969641.0,0.0508,-16.99,409223,1.28,181.37,3.34,186.17,0.67,195.55,-4.16,3.2,44.65,348532,318850,329434,0.323
3468,TXRH,Consumer Cyclical,Restaurants,NASDAQ,85.8,40.63,100.65,77.61,28.52,29.01,47.53,39.53,173.82,11697899661.786346,65729615.0,0.053000003,-13.09,1092682,0.9,174.74,-0.53,166.48,4.41,166.19,4.59,3.46,2.16,1557208,1207559,1120777,0.128
3469,RRGB,Consumer Cyclical,Restaurants,NASDAQ,85.79,40.6,102.52,80.86,29.07,37.26,28.81,23.17,3.85,68370193.75409603,18135330.0,0.145,-51.2,2793406,8.19,3.75,2.67,3.77,2.12,3.51,9.69,6.44,112.97,518850,341160,349234,-0.057
3470,EXE,Energy,Oil & Gas E&P,NASDAQ,85.78,40.58,97.54,69.97,32.8,29.65,35.61,76.17,100.89,23131037993.864807,239228849.0,0.023699999,-20.32,3094885,1.02,96.83,4.19,97.25,3.74,101.13,-0.24,2.45,89.29,2517578,3030546,3580477,0.41
3471,HGTY,Financial Services,Insurance - Property & Casualty,NYSE,85.77,40.56,96.95,68.16,31.28,39.82,49.12,81.35,11.05,1062815405.5220776,101802246.0,0.018099999,-21.07,212123,1.28,10.36,6.66,10.4,6.25,10.52,5.04,3.93,38.61,208842,165977,178562,0.165
3472,DSL,Financial Services,Asset Management,NYSE,85.77,40.56,93.01,46.57,42.28,44.94,46.56,42.07,10.71,1231675047.25,114574423.0,0.0011,-15.47,562374,1.1,10.92,-1.92,10.93,-2.01,10.79,-0.74,1.12,41.76,596657,509405,561465,
3473,TULP,Communication Services,Advertising Agencies,NASDAQ,85.76,40.53,99.47,74.84,28.05,34.5,35.47,19.03,4.09,7356878.27989912,1886379.0,0.020499999,-33.93,3357,0.92,4.01,2.0,3.97,3.02,3.96,3.28,3.75,32.11,5365,3641,3349,0.16
3474,ITRG,Basic Materials,Other Precious Metals & Mining,NYSE ARCA,85.75,40.52,78.23,11.43,63.52,69.95,95.58,95.68,2.42,515741725.9058893,202251661.0,0.0095,-50.31,3760281,1.53,2.75,-12.0,2.78,-12.95,2.9,-16.55,6.22,6.64,2182208,2455489,2910587,0.082
3475,MCR,Financial Services,Asset Management,NYSE,85.74,40.49,92.28,43.11,41.95,44.82,48.75,57.89,5.86,247629306.28543139,41688435.0,0.08,-10.94,67693,0.94,6.01,-2.5,6.02,-2.66,6.0,-2.33,1.11,15.38,60789,71793,85375,-0.001
3476,DAKT,Technology,Electronic Components,NASDAQ,85.74,40.49,87.68,28.87,54.38,58.9,90.65,74.18,19.11,928158499.3499603,48747818.0,0.0452,-32.4,433758,1.41,19.89,-3.92,19.66,-2.8,19.9,-3.97,3.23,43.8,331775,307228,404101,0.216
3477,NTIC,Basic Materials,Specialty Chemicals,NASDAQ,85.73,40.45,91.45,39.59,44.56,41.9,62.52,27.84,7.9,74986808.80522776,9492001.0,0.0038,-21.24,5874,0.33,7.96,-0.75,7.98,-1.0,8.14,-2.95,1.37,-0.0,24617,17565,13025,0.153
3478,PBHC,Financial Services,Banks - Regional,NASDAQ,85.73,40.45,94.75,54.99,45.48,32.59,27.99,33.81,13.55,84400129.60800171,6256496.0,0.0016,-17.88,2239,0.71,13.54,0.07,13.61,-0.44,13.38,1.27,3.33,-0.0,3103,3171,3056,-0.042
3479,AMP,Financial Services,Asset Management,NYSE,85.73,40.45,95.75,61.94,33.83,33.11,32.96,28.08,463.76,42285790810.870605,89897084.0,0.0468,-15.71,317569,0.5,468.01,-0.91,468.18,-0.94,454.19,2.11,2.35,3.72,539976,630048,663333,0.09
3480,STRT,Consumer Cyclical,Auto Parts,NASDAQ,85.72,40.41,81.49,16.06,73.89,80.97,87.13,85.96,67.26,279603456.393219,4178799.0,0.0673,-27.29,124134,1.04,66.94,0.48,71.36,-5.75,75.21,-10.57,8.02,66.94,132293,119554,103188,-0.045
3481,HYI,Financial Services,Asset Management,NYSE,85.72,40.41,92.83,45.69,40.99,43.44,44.62,44.44,10.55,135572150.76236916,12814003.0,0.55,-13.03,41713,0.58,10.69,-1.31,10.76,-1.95,10.71,-1.49,0.87,10.94,42291,71687,68552,
3482,GRX,Financial Services,Asset Management,NYSE,85.71,40.38,92.62,44.66,38.76,44.62,55.36,51.78,8.94,135606657.27482796,15050683.0,0.02,-11.04,10011,0.48,9.0,-0.67,9.07,-1.43,9.12,-1.97,1.38,24.37,19821,20807,23392,
3483,GENK,Consumer Cyclical,Restaurants,NASDAQ,85.64,40.36,128.56,95.53,12.53,9.01,9.75,10.74,2.29,11695281.798139572,5364808.0,0.1236,-54.11,33515,0.89,2.24,2.23,1.94,18.04,1.79,27.93,10.56,41.35,53051,37613,49152,-0.06
3484,MEGL,Financial Services,Capital Markets,NASDAQ,85.62,40.34,98.36,72.12,29.11,26.0,16.97,79.26,1.13,5570455.120736361,5064050.0,0.0633,-56.87,10192,0.51,1.12,0.89,1.15,-1.74,1.11,1.8,7.79,34.09,30559,19926,17551,0.267
3485,HCI,Financial Services,Insurance - Property & Casualty,NYSE,85.62,40.34,95.86,62.78,37.79,33.49,39.47,81.66,155.71,1996415893.289795,12764808.0,0.0286,-26.03,112929,0.53,153.93,1.16,153.81,1.24,154.8,0.59,3.57,11.51,208002,212590,184630,0.122
3486,HBANP,Financial Services,Banks - Regional,NASDAQ,85.6,40.31,92.51,44.25,39.14,39.3,49.34,43.87,16.61,,,0.16,-12.12,44041,1.36,16.91,-1.77,16.95,-2.01,17.01,-2.35,0.77,7.82,32684,32481,38176,0.336
3487,ARDC,Financial Services,Asset Management,NYSE,85.59,40.3,96.1,64.66,37.08,35.93,36.04,42.57,12.65,304128529.9434662,23966000.0,0.49,-15.83,99614,0.74,12.79,-1.09,12.66,-0.08,12.32,2.68,1.19,17.39,139541,135380,131632,
3488,BYD,Consumer Cyclical,Resorts & Casinos,NYSE,85.56,40.27,87.73,29.01,53.84,61.86,54.35,57.89,78.09,5878771765.834839,74330156.0,0.060300004,-13.19,787845,0.8,81.72,-4.44,83.95,-6.98,83.77,-6.78,2.57,25.92,903954,984484,954414,0.006
3489,HURC,Industrials,Specialty Industrial Machinery,NASDAQ,85.56,40.27,94.84,55.4,40.81,36.47,42.45,34.26,16.47,107204524.6099205,6446454.0,0.0212,-23.25,5986,0.32,16.62,-0.9,16.65,-1.08,15.92,3.45,3.12,3.89,18178,18696,20459,-0.076
3490,NEUP,Healthcare,Biotechnology,NASDAQ,85.54,40.25,92.08,42.28,65.15,25.57,25.23,18.48,4.77,25498933.452823162,5390895.0,0.0086,-77.71,174390,4.69,5.04,-5.36,5.09,-6.29,4.76,0.21,4.54,166.06,46839,37213,47533,
3491,ARLO,Industrials,Building Products & Equipment,NYSE,85.53,40.23,87.75,29.14,58.74,60.77,25.53,42.97,12.78,1338072912.2949142,108609817.0,0.12,-35.91,1716041,1.19,13.47,-5.12,13.96,-8.45,14.05,-9.04,6.27,23.09,2054324,1443678,1356144,0.263
3492,IOR,Financial Services,Mortgage Finance,NYSE ARCA,85.52,40.21,93.36,48.07,38.31,38.96,47.01,50.08,18.0,73191204.0,4066178.0,0.0002,-8.58,345,0.58,18.01,-0.06,17.98,0.11,18.08,-0.44,0.23,0.0,364,594,498,
3493,SFBS,Financial Services,Banks - Regional,NYSE,85.51,40.2,90.98,37.75,47.47,39.78,59.58,24.71,75.67,4099711725.0,54662823.0,0.0647,-16.52,97129,0.41,77.09,-1.84,78.21,-3.25,76.06,-0.51,2.5,26.93,203812,238727,291822,0.185
3494,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,85.5,40.18,82.4,17.8,63.41,75.48,58.67,71.43,63.35,48113089508.886795,716288385.0,0.1305,-34.94,11673375,0.91,72.17,-12.22,76.02,-16.67,69.32,-8.61,6.85,37.35,9654817,12771189,13364303,0.52
3495,AMRN,Healthcare,Drug Manufacturers - General,NASDAQ,85.48,40.16,90.45,36.21,52.14,44.36,61.8,83.12,14.05,305310235.8389883,20969109.0,0.0328,-32.78,31603,0.44,14.72,-4.55,14.48,-2.97,14.72,-4.55,4.46,39.91,42500,72506,65608,0.074
3496,TUYA,Technology,Software - Infrastructure,NYSE,85.47,40.12,86.12,24.91,61.24,64.55,33.57,30.85,2.1,1354912664.4172468,613082643.0,0.0101,-28.69,685164,0.79,2.3,-8.7,2.33,-9.87,2.36,-11.02,4.4,0.0,944806,872225,1323337,0.083
3497,BHFAO,Financial Services,Insurance - Life,NASDAQ,85.47,40.12,94.19,52.32,43.05,50.12,42.66,27.15,16.41,,,1.02,-25.21,38732,1.27,16.58,-1.03,16.64,-1.38,16.44,-0.18,1.36,4.49,20563,30514,36140,-0.362
3498,BTZ,Financial Services,Asset Management,NYSE,85.47,40.12,92.0,41.95,41.05,46.55,49.68,63.09,9.86,933244570.0,93324457.0,0.0013,-11.81,466545,1.79,10.12,-2.57,10.19,-3.24,10.07,-2.09,0.84,12.13,288974,260258,323226,-0.037
3499,FAMI,Consumer Defensive,Packaged Foods,NASDAQ,85.47,40.12,112.93,90.9,21.71,17.13,20.37,16.58,1.45,17683467.1247437,13815209.0,0.014099999,-33.18,1767,0.07,1.29,12.4,1.25,16.0,1.25,16.0,6.75,51.09,34666,25728,20787,-0.573
3500,AYTU,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,85.41,40.08,78.78,12.16,77.29,78.54,73.47,75.56,2.08,23505726.134159088,10733208.0,0.0548,-32.25,119275,2.48,2.32,-10.34,2.44,-14.75,2.54,-18.11,5.63,85.37,81117,48015,46901,-0.327
3501,RCG,Financial Services,Asset Management,NYSE ARCA,85.4,40.05,87.74,29.07,51.17,64.38,56.19,54.14,2.64,18942622.534538746,7015786.0,0.0056,-20.24,3795,0.5,2.74,-3.65,2.78,-5.04,2.98,-11.41,2.19,-0.17,4919,7526,8417,-0.462
3502,AWF,Financial Services,Asset Management,NYSE,85.4,40.05,92.65,44.81,39.61,46.01,43.17,50.54,10.02,868332831.1447906,86229678.0,0.33,-12.34,325380,0.71,10.15,-1.28,10.24,-2.15,10.17,-1.47,1.22,49.19,541608,457662,440135,-0.011
3503,OPRT,Financial Services,Credit Services,NASDAQ,85.36,40.03,93.31,47.87,38.98,62.31,27.62,32.37,5.25,240127350.75,45738543.0,0.0334,-34.09,365149,0.9,5.48,-4.2,5.65,-7.08,5.14,2.14,6.3,39.31,379744,404114,469078,0.013
3504,MSLE,Healthcare,Biotechnology,NASDAQ,85.35,39.99,85.96,24.48,63.11,69.88,93.21,48.83,6.99,146026646.667881,20831190.0,1.48,-47.82,19055,0.42,7.27,-3.85,7.42,-5.8,7.29,-4.12,8.61,1.66,32115,45098,83309,
3505,SAFE,Real Estate,REIT - Diversified,NYSE,85.35,39.99,91.73,40.72,47.15,53.33,62.26,24.16,14.22,1014713733.8034096,71610002.0,0.0726,-17.13,198833,0.51,14.82,-4.05,15.17,-6.26,14.7,-3.27,3.67,9.56,339633,392374,365212,0.119
